format cycle
l 3 1
l 3 2
l 4 1
l 4 2
l 4 3
l 5 1
l 6 1
l 7 1
l 7 5
l 7 6
l 8 1
l 8 2
l 8 3
l 8 4
l 9 1
l 9 3
l 10 3
l 11 1
l 11 5
l 11 6
l 12 1
l 13 1
l 13 4
l 14 1
l 14 2
l 14 3
l 14 4
l 17 6
l 17 7
l 18 1
l 18 2
l 20 1
l 20 2
l 22 1
l 22 2
l 26 24
l 26 25
l 28 3
l 28 24
l 28 25
l 29 3
l 30 24
l 30 27
l 31 2
l 31 9
l 32 1
l 32 25
l 32 26
l 32 29
l 33 3
l 33 9
l 33 15
l 33 16
l 33 19
l 33 21
l 33 23
l 33 24
l 33 30
l 33 31
l 33 32
l 34 9
l 34 10
l 34 14
l 34 15
l 34 16
l 34 19
l 34 20
l 34 21
l 34 23
l 34 24
l 34 27
l 34 28
l 34 29
l 34 30
l 34 31
l 34 32
l 34 33
