format costs
g 1 0
l CRYSTALVILLE WILLOWBROOK 1
l CRYSTALVILLE HARMONYVILLE 1
l CRYSTALVILLE SILVERLAKE 1
l CRYSTALVILLE OCEANVIEW 1
l CRYSTALVILLE MOONSTONE 1
l CRYSTALVILLE RIVERDALE 1
l CRYSTALVILLE CEDARVILLE 1
l CRYSTALVILLE MAPLEWOOD 1
l WILLOWBROOK CRYSTALVILLE 1
l WILLOWBROOK HARMONYVILLE 1
l WILLOWBROOK SILVERLAKE 1
l WILLOWBROOK OCEANVIEW 1
l WILLOWBROOK MOONSTONE 1
l WILLOWBROOK RIVERDALE 1
l WILLOWBROOK CEDARVILLE 1
l HARMONYVILLE CRYSTALVILLE 1
l HARMONYVILLE WILLOWBROOK 1
l HARMONYVILLE SILVERLAKE 1
l HARMONYVILLE OCEANVIEW 1
l HARMONYVILLE MOONSTONE 1
l HARMONYVILLE RIVERDALE 1
l HARMONYVILLE CEDARVILLE 1
l SILVERLAKE CRYSTALVILLE 1
l SILVERLAKE WILLOWBROOK 1
l SILVERLAKE HARMONYVILLE 1
l SILVERLAKE OCEANVIEW 1
l SILVERLAKE MOONSTONE 1
l SILVERLAKE RIVERDALE 1
l SILVERLAKE CEDARVILLE 1
l OCEANVIEW CRYSTALVILLE 1
l OCEANVIEW WILLOWBROOK 1
l OCEANVIEW HARMONYVILLE 1
l OCEANVIEW SILVERLAKE 1
l OCEANVIEW MOONSTONE 1
l OCEANVIEW RIVERDALE 1
l OCEANVIEW CEDARVILLE 1
l MOONSTONE CRYSTALVILLE 1
l MOONSTONE WILLOWBROOK 1
l MOONSTONE HARMONYVILLE 1
l MOONSTONE SILVERLAKE 1
l MOONSTONE OCEANVIEW 1
l RIVERDALE CRYSTALVILLE 1
l RIVERDALE WILLOWBROOK 1
l RIVERDALE HARMONYVILLE 1
l RIVERDALE SILVERLAKE 1
l RIVERDALE OCEANVIEW 1
l RIVERDALE CEDARVILLE 1
l CEDARVILLE CRYSTALVILLE 1
l CEDARVILLE WILLOWBROOK 1
l CEDARVILLE HARMONYVILLE 1
l CEDARVILLE SILVERLAKE 1
l CEDARVILLE OCEANVIEW 1
l CEDARVILLE RIVERDALE 1
l MAPLEWOOD CRYSTALVILLE 1
s CRYSTALVILLE 
e MAPLEWOOD
